title,images,category,description,price,sku
OL BLK B231,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_25.webp,platoled,"Product name OL BLK B231
Material * Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 3K | 3K+6K | 3K+RED | 3K+GREEN | 3K+BLUE
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-265V
Available in
10 W",,
OL BLK B231,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_26.webp,platoled,"Product name OL BLK B231
Material * Back: Alloy ABS
Color BLACK
IP Rating NA
Color Temp 6K | 6K+3K | 6K+RED | 6K+GREEN | 6K+BLUE
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-265V
Available in
10 W",,
OL SPOTLIGHT B247 WHITE | Black,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_27.webp,platoled,"Product name OL SPOTLIGHT B247 WHITE | Black
Material ALUM
Color WHITE | BLACK
IP Rating NA
Color Temp 3K
CRI NA
LM/W NA
PF NA
Vol AC100-265V
Available in
NA",,
OL SPOTLIGHT B246 WHITE | BLACK,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_28.webp,platoled,"Product name OL SPOTLIGHT B246 WHITE | BLACK
Material ALUM
Color WHITE | BLACK
IP Rating NA
Color Temp 3K
CRI NA
LM/W NA
PF NA
Vol AC100-265V
Available in
NA",,
OL SPOTLIGHT B245 WHITE | BLACK,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_29.webp,platoled,"Product name OL SPOTLIGHT B245 WHITE | BLACK
Material ALUM
Color WHITE | BLACK
IP Rating NA
Color Temp 3K
CRI NA
LM/W NA
PF NA
Vol AC100-265V
Available in
NA",,
OUTDOOR LIGHT SR B136,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_30.webp,platoled,"Product name OUTDOOR LIGHT SR B136
Material * BACK: ALLOY ALUMINUM
Color WHITE | BLACK
IP Rating NA
Color Temp 65K|35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
5 W",,
OUTDOOR LIGHT LS ARC B247,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_31.webp,platoled,"Product name OUTDOOR LIGHT LS ARC B247
Material * BACK: ALLOY ALUMINUM
Color BLACK | WhITE
IP Rating NA
Color Temp 65K|35K
CRI 70
LM/W 65-70
PF >0.5
Vol AC100-240V
Available in
15 W",,
OL GOLD B061,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_32.webp,platoled,"Product name OL GOLD B061
Material PP
Color GOLD
IP Rating NA
Color Temp 65K
CRI 70
LM/W 70-80
PF >0.7
Vol AC100-265V
Available in
50 W",,
OL GOLD B060,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_33.webp,platoled,"Product name OL GOLD B060
Material PP
Color GOLD
IP Rating NA
Color Temp 65K
CRI 70
LM/W 70-80
PF >0.7
Vol AC100-265V
Available in
50 W",,
OL BLACK B060,http://www.platoled.com/assets/img/categories/OUTDOOR_WALL_LIGHT/OUTDOOR_WALL_LIGHT_34.webp,platoled,"Product name OL BLACK B060
Material PP
Color BLACK
IP Rating NA
Color Temp 65K|35K
CRI 70
LM/W 70-80
PF >0.7
Vol AC100-265V
Available in
50 W",,
